"cellID","X95","X190","X285","X380","X475","X950","X1425","X1900","X4750","X9500","X14250","rep_num","Arc","Egr2","Nr4a1","center_x","center_y"
1268,"0.333333333333333",0.333333333333333,"0.375","0.5","0.454545454545455","0.434782608695652","0.48062015503876","0.482935153583618","0.471111111111111","0.475809452921474","0.429705351773903",1,25,30,21,1533.32705167173,14470.7640253903
1270,"0",0,"0","0.259259259259259","0.263157894736842","0.305084745762712","0.372294372294372","0.414948453608247","0.473305338932214","0.492732855680655","0.429270127915726",1,15,9,13,559.060095200317,14463.7238862873
1273,"1",0.75,"0.6875","0.6","0.531914893617021","0.414473684210526","0.405970149253731","0.417935702199662","0.427835051546392","0.440005727376861","0.424787551042931",1,36,16,16,6964.24496715406,14461.3916816799
1275,"0",0.4,"0.5","0.458333333333333","0.558823529411765","0.518292682926829","0.522857142857143","0.503194888178914","0.470238095238095","0.454487179487179","0.427548585066485",1,11,6,8,3578.54458226071,14463.3665906365
1279,"1",0.333333333333333,"0.454545454545455","0.333333333333333","0.40625","0.425","0.420749279538905","0.408866995073892","0.45922598479613","0.441518766366017","0.425517776054934",1,27,6,5,5931.40241187384,14451.8627240574
1281,NA,0,"0","0.133333333333333","0.0769230769230769","0.15625","0.288256227758007","0.287037037037037","0.332822085889571","0.436225699383594","0.424305861613045",1,12,10,2,10310.064949402,14450.984848063
1283,"0",0.142857142857143,"0.3125","0.269230769230769","0.342105263157895","0.3","0.252747252747253","0.25085910652921","0.298402555910543","0.41792401381567","0.42428917787084",1,13,13,7,11628.6499068901,14448.944727077
1288,"0.333333333333333",0.571428571428571,"0.411764705882353","0.428571428571429","0.452380952380952","0.435374149659864","0.410714285714286","0.394871794871795","0.403306420607459","0.439510389980074","0.424399382852105",1,15,10,5,7673.24733155437,14440.6690202772
1290,"1",0.444444444444444,"0.388888888888889","0.407407407407407","0.488888888888889","0.445945945945946","0.417177914110429","0.409475465313029","0.412920287117492","0.440581362211456","0.424429500606328",1,3,7,1,7406.50876460768,14440.9933728505
1291,"0",0.25,"0.6","0.53125","0.51063829787234","0.418918918918919","0.411940298507463","0.410169491525424","0.423148492742836","0.440639269406393","0.424646954986761",1,7,17,29,7159.34457102999,14435.9843692372
1298,"1",0.666666666666667,"0.428571428571429","0.481481481481481","0.463414634146341","0.398550724637681","0.414634146341463","0.379613356766257","0.394321766561514","0.438168592212238","0.424305861613045",1,37,23,22,8135.21518987342,14436.3882036936
1299,"1",0.6,"0.461538461538462","0.5","0.5","0.511363636363636","0.488943488943489","0.49537037037037","0.468055555555556","0.469142447075709","0.430618044044518",1,22,7,5,1911.63202445333,14428.3836431773
1303,NA,0.666666666666667,"0.3","0.5","0.447368421052632","0.426751592356688","0.444743935309973","0.441971383147854","0.471225457007448","0.443807512445316","0.426610112735796",1,6,15,31,4774.81523809524,14427.4009498528
1305,"1",0.571428571428571,"0.357142857142857","0.517241379310345","0.465116279069767","0.4","0.421212121212121","0.378947368421053","0.398354876615746","0.43801652892562","0.424305861613045",1,47,46,54,8044.01720027248,14432.1013010847
1306,"0.5",0.666666666666667,"0.466666666666667","0.464285714285714","0.463414634146341","0.404255319148936","0.408668730650155","0.377855887521968","0.392265193370166","0.438391329150029","0.424305861613045",1,17,10,11,8203.51743119266,14423.2668816037
1308,"0.5",0.666666666666667,"0.428571428571429","0.45","0.34375","0.4625","0.413223140495868","0.443910256410256","0.469305602146931","0.442637624944055","0.426043405676127",1,1,23,20,5062.68146903505,14427.2606990952
1309,NA,0.5,"0.461538461538462","0.461538461538462","0.538461538461538","0.55952380952381","0.545698924731183","0.527355623100304","0.472367890278338","0.45943694819257","0.428225806451613",1,9,7,2,2863.44974446337,14417.1579998695
1310,"0.333333333333333",0.333333333333333,"0.333333333333333","0.428571428571429","0.297872340425532","0.348684210526316","0.412162162162162","0.459459459459459","0.473424657534247","0.48628526645768","0.430153846153846",1,37,40,31,935.584165834166,14416.0295286814
1311,"0.333333333333333",0.285714285714286,"0.428571428571429","0.4","0.311111111111111","0.360759493670886","0.411764705882353","0.463073852295409","0.475365457498646","0.485102239532619","0.430518045666585",1,67,50,41,999.782523893115,14413.4339800911
1319,"0",0.4,"0.4","0.352941176470588","0.375","0.349315068493151","0.358552631578947","0.33955223880597","0.375103734439834","0.437111913357401","0.424305861613045",1,27,12,21,8946.61925042589,14402.1139907837
